text,url
ELECTRICAL,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_Chapter27_ElectricalWBwm.pdf&amp;section=conscode_2022
MECHANICAL SYSTEMS,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_Chapter28_MechanicalWBwm.pdf&amp;section=conscode_2022
PLUMBING SYSTEMS,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_Chapter29_PlumbingWBwm.pdf&amp;section=conscode_2022
ELEVATORS AND CONVEYING SYSTEMS,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_Chapter30_ElevatorsWBwm.pdf&amp;section=conscode_2022
SPECIAL CONSTRUCTION,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_Chapter31_SpecConstructionWBwm.pdf&amp;section=conscode_2022
ENCROACHMENTS INTO THE PUBLIC RIGHT-OF-WAY,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_Chapter32_PublicRightofWayWBwm.pdf&amp;section=conscode_2022
SAFEGUARDS DURING CONSTRUCTION OR DEMOLITION,https://www.nyc.gov/assets/buildings/codes-pdf/cons_codes_2022/2022BC_Chapter33_Con_DemoSafetyWBwm.pdf
RESERVED,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_Chapter34_ReservedWBwm.pdf&amp;section=conscode_2022
REFERENCED STANDARDS,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_Chapter35_RefStandardsWBwm.pdf&amp;section=conscode_2022
RESERVED,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_AppendixA_ReservedWBwm.pdf&amp;section=conscode_2022
RESERVED,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_AppendixB_ReservedWBwm.pdf&amp;section=conscode_2022
RESERVED,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_AppendixC_ReservedWBwm.pdf&amp;section=conscode_2022
FIRE DISTRICTS,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_AppendixD_FireDistrictsWBwm.pdf&amp;section=conscode_2022
SUPPLEMENTARY ACCESSIBILITY REQUIREMENTS,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_AppendixE_SuppAccessibilityWBwm.pdf&amp;section=conscode_2022
RODENT-PROOFING,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_AppendixF_Rodent-ProofingWBwm.pdf&amp;section=conscode_2022
FLOOD-RESISTANT CONSTRUCTION,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_AppendixG_FloodResistantWBwm.pdf&amp;section=conscode_2022
OUTDOOR SIGNS,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_AppendixH_OutdoorSignsWBwm.pdf&amp;section=conscode_2022
RESERVED,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_AppendixI_ReservedWBwm.pdf&amp;section=conscode_2022
RESERVED,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_AppendixJ_ReservedWBwm.pdf&amp;section=conscode_2022
MODIFIED INDUSTRY STANDARDS FOR ELEVATORS AND CONVEYING SYSTEMS,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_AppendixK_ElevatorStandardsWBwm.pdf&amp;section=conscode_2022
RESERVED,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_AppendixL_ReservedWBwm.pdf&amp;section=conscode_2022
SUPPLEMENTARY REQUIREMENTS FOR ONE- AND TWO-FAMILY DWELLINGS,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_AppendixM_One-TwoWBwm.pdf&amp;section=conscode_2022
ASSISTIVE LISTENING SYSTEMS PERFORMANCE STANDARDS,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_AppendixN_AssistiveListeningWBwm.pdf&amp;section=conscode_2022
RESERVED,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_AppendixO_ReservedWBwm.pdf&amp;section=conscode_2022
RESERVED,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_AppendixP_ReservedWBwm.pdf&amp;section=conscode_2022
"MODIFIED NATIONAL STANDARDS FOR AUTOMATIC SPRINKLER, STANDPIPE, FIRE PUMP, FIRE ALARM, AND SMOKE CONTROL SYSTEMS",https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_AppendixQ_FireStandardsWBwm.pdf&amp;section=conscode_2022
ACOUSTICAL TILE AND LAY-IN PANEL CEILING SUSPENSION SYSTEMS,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_AppendixR_AcousticalTileWBwm.pdf&amp;section=conscode_2022
SUPPLEMENTARY FIGURES FOR LUMINOUS EGRESS PATH MARKINGS,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_AppendixS_ExitPathMarkingsWBwm.pdf&amp;section=conscode_2022
